ateneo_id,score,cognome_rubrica,nome_completo_rubrica,display_name_openalex,author_id_openalex,orcid
https://openalex.org/I93860229,100.00,BERTULESSI Luca,BERTULESSI Luca,Luca Bertulessi,https://openalex.org/A5071532224,https://orcid.org/0000-0001-6167-6512
https://openalex.org/I93860229,100.00,BERZI Diego,BERZI Diego,Diego Berzi,https://openalex.org/A5010658567,https://orcid.org/0000-0003-0533-2373
https://openalex.org/I93860229,100.00,BESAGNI Giorgio,BESAGNI Giorgio,Giorgio Besagni,https://openalex.org/A5020297238,https://orcid.org/0000-0001-6762-828X
https://openalex.org/I93860229,100.00,BESTAGINI Paolo,BESTAGINI Paolo,Paolo Bestagini,https://openalex.org/A5051370303,https://orcid.org/0000-0003-0406-0222
https://openalex.org/I93860229,100.00,BESTETTI Massimiliano,BESTETTI Massimiliano,Massimiliano Bestetti,https://openalex.org/A5078726638,https://orcid.org/0000-0003-2528-2852
https://openalex.org/I93860229,100.00,BETTIGA Debora,BETTIGA Debora,Debora Bettiga,https://openalex.org/A5002151579,https://orcid.org/0000-0002-0903-5328
https://openalex.org/I93860229,100.00,BETTINI Paolo,BETTINI Paolo,Paolo Bettini,https://openalex.org/A5114375795,https://orcid.org/0000-0003-1083-5792
https://openalex.org/I93860229,100.00,BIAGI Ludovico Giorgio Aldo,BIAGI Ludovico Giorgio Aldo,Aldo R. Mejía‐Rodríguez,https://openalex.org/A5025781635,https://orcid.org/0000-0003-0704-0681
https://openalex.org/I93860229,100.00,BIAGI Stefano,BIAGI Stefano,Stefano Biagi,https://openalex.org/A5028609303,https://orcid.org/0000-0002-9694-2566
https://openalex.org/I93860229,100.00,BIAGIONI Paolo,BIAGIONI Paolo,Paolo Biagioni,https://openalex.org/A5087490447,https://orcid.org/0000-0003-4272-7040
https://openalex.org/I93860229,100.00,BIAMONTI Alessandro,BIAMONTI Alessandro,Alessandro Biamonti,https://openalex.org/A5043897379,https://orcid.org/0000-0002-4725-2032
